city,title,price,location,area,building_area,bedrooms,bathrooms,garage
Jakarta Selatan,Dijual Rumah Sultan Mewah Full Furnish Di Kemang Jakarta Selatan,45000.0,"Kemang, Jakarta Selatan",730.0,1100.0,7.0,8.0,10.0
Jakarta Selatan,"Rumah Mewah 3 Lantai Ada Roof Top, Dalam Komplek Ekslusif di Pondok Indah Dekat Pim",7910.0,"Pondok Indah, Jakarta Selatan",128.0,302.0,3.0,3.0,2.0
Jakarta Selatan,Rumah 1 Lantai Di Cipete Kebayoran Baru Lokasi Bagus Ada Pool Shm,14500.0,"Cipete, Jakarta Selatan",518.0,450.0,5.0,6.0,5.0
Jakarta Selatan,Rumah Bagus Rapih Siap Huni di Sektor 6 Bintaro Jakarta Selatan dp,3000.0,"Bintaro, Jakarta Selatan",120.0,90.0,4.0,2.0,0.0
Jakarta Selatan,Dijual Rumah Cluster Private Pool Di Kebagusan Jakarta Selatan,4250.0,"Kebagusan, Jakarta Selatan",127.0,280.0,6.0,5.0,1.0
Jakarta Selatan,Dijual Rumah Cluster Di Jagakarsa Jakarta Selatan,875.0,"Jagakarsa, Jakarta Selatan",38.0,80.0,3.0,3.0,1.0
Jakarta Selatan,Rumah American Classic Di Senopati Jakarta Selatan Shm Bagus,16900.0,"Senopati, Jakarta Selatan",208.0,500.0,3.0,3.0,2.0
Jakarta Selatan,"Dijual Rumah Hitung Tanah  Harga Dibawah Njop, Zonasi Komersil",21500.0,"Kebayoran Lama, Jakarta Selatan",1322.0,500.0,5.0,3.0,0.0
Jakarta Selatan,Dijual Cepat Perumahan Mewah Simprug Jak-Sel,25000.0,"Simprug, Jakarta Selatan",662.0,500.0,4.0,4.0,1.0
Jakarta Selatan,Rumah Hitung Tanah Jl Niaga Hijau Pondok Indah Jaksel,14000.0,"Pondok Pinang, Jakarta Selatan",442.0,380.0,5.0,4.0,2.0
Jakarta Selatan,Dijual Rumah Brand New Minimalis Modern di Jakarta Selatan,2500.0,"Pesanggrahan, Jakarta Selatan",93.0,160.0,4.0,3.0,1.0
Jakarta Selatan,(termurah Di Pejaten) Hunian 2 Lantai Lokasi Jaksel Dalam Cluster,2650.0,"Pejaten, Jakarta Selatan",100.0,90.0,2.0,2.0,1.0
Jakarta Selatan,Rumah 2 Lantai Simprug Golf Siap Huni Ada Taman Pool Tanah Kotak Elite,45000.0,"Senayan, Jakarta Selatan",712.0,500.0,6.0,5.0,3.0
Jakarta Selatan,"Dijual Cepat Rumah Mewah Hook Villa Delima, Lebak Bulus, Brand New Renovated Lokasi Strategis Dekat Dengan Stasiun Mrt, Lingkungan Tenang",12500.0,"Lebak Bulus, Jakarta Selatan",446.0,500.0,4.0,3.0,0.0
Jakarta Selatan,Rumah 2 Lantai Di Permata Hijau Dalam Kompleks Dekat Ke Senayan,7300.0,"Permata Hijau, Jakarta Selatan",356.0,450.0,5.0,4.0,1.0
Jakarta Selatan,Rumah Murah 2 Lantai Rooftop Fasum Kolam Renang Lokasi Strategis,1420.0,"Tanjung Barat, Jakarta Selatan",60.0,120.0,3.0,3.0,1.0
Jakarta Selatan,Antasari Raya Dibawah Njop,68000.0,"Antasari, Jakarta Selatan",2950.0,750.0,4.0,4.0,6.0
Jakarta Selatan,Rumah Modern Siap Huni 15 Mnt ke Stasiun Universitas Pancasila Dibantu KPR J22070,770.0,"Jagakarsa, Jakarta Selatan",30.0,50.0,2.0,1.0,0.0
Jakarta Selatan,Rumah Minimalis Modern Semi Furnished 5 Menit Mrt Lebak Bulus,1740.0,"Cirendeu, Jakarta Selatan",105.0,125.0,3.0,3.0,2.0
Jakarta Selatan,Bisa Untuk Cafe Rumah Siap Huni Lokasi Strategis Gandaria Jaksel,14500.0,"Gandaria, Jakarta Selatan",250.0,160.0,3.0,3.0,0.0
Jakarta Selatan,"Rumah dalam Kompleks Buncit Indah, Jakarta Selatan ~ Dalam Kompleks ~ Security 24 Jam",8450.0,"Warung Buncit, Jakarta Selatan",433.0,250.0,3.0,2.0,4.0
Jakarta Selatan,Dijual Townhouse at Kemang Ampera - Jakarta Selatan,6870.0,"Ampera, Jakarta Selatan",187.0,361.0,4.0,3.0,3.0
Jakarta Selatan,Rumah Industrial Modern Veteran Dekat Tol Tanah Kusir,4800.0,"Veteran, Jakarta Selatan",150.0,180.0,3.0,3.0,2.0
Jakarta Selatan,Dijual Rumah Lokasi Strategis Dkt Mrt Cipete Raya Jakarta Selatan,7000.0,"Fatmawati, Jakarta Selatan",325.0,400.0,4.0,4.0,2.0
Jakarta Selatan,Rumah Modern Harga Termurah di Komplek Cinere 500 M Ke Tol Limo,3500.0,"Cinere, Jakarta Selatan",236.0,235.0,5.0,4.0,2.0
Jakarta Selatan,Dijual Rumah Lama di Blok S Kebayoran Baru Jakarta Selatan,14000.0,"Blok S, Jakarta Selatan",317.0,240.0,3.0,2.0,2.0
Jakarta Selatan,Banting Harga Rumah Mewah Di Pondok Labu Jaksel,35000.0,"Pondok Labu, Jakarta Selatan",1390.0,1250.0,7.0,9.0,4.0
Jakarta Selatan,"Dijual Cepat Rumah Di Jl.tulodong, Senayan, Lokasi Strategis Nempel Dengan Scbd & Dekat Dengan Akses Toll Dalam Kota",25000.0,"SCBD, Jakarta Selatan",408.0,300.0,4.0,5.0,0.0
Jakarta Selatan,Dijual Rumah Kemang Bebas Banjir Daerah Tenang Aman  SHM,10600.0,"Kemang, Jakarta Selatan",449.0,649.0,6.0,6.0,2.0
Jakarta Selatan,Rumah Mewah Taman Patra Kuningan Eksklusif One Gate System,55000.0,"patra kuningan, Jakarta Selatan",600.0,800.0,5.0,5.0,1.0
Jakarta Selatan,Rumah Lama Hitung Tanah Lenteng Agung Di Bawah Njop,7000.0,"Lenteng Agung, Jakarta Selatan",623.0,74.0,2.0,1.0,2.0
Jakarta Selatan,"Rumah Mewah 3 Lantai Ada Roof Top Dalam Komplek Exclusive di Pondok Indah, Mewah, Dekat Pim",13400.0,"Pondok Indah, Jakarta Selatan",252.0,435.0,3.0,3.0,2.0
Jakarta Selatan,Termurah Dijual Rumah Hitung Tanah Dekat Lapangan Golf di Pondok Indah Lokasi Premium,18900.0,"Pondok Indah, Jakarta Selatan",470.0,400.0,4.0,3.0,2.0
Jakarta Selatan,Rumah Mewah 2 Lantai Siap Huni di Kemang Bagus Private Pool Shm,25000.0,"Kemang, Jakarta Selatan",714.0,600.0,4.0,4.0,4.0
Jakarta Selatan,Rumah di Kemang Timur Raya Halaman Dan Parkiran Luas Bisa Usaha,50000.0,"Kemang, Jakarta Selatan",2363.0,487.0,3.0,3.0,5.0
Jakarta Selatan,"Rumah Lama Di Jalan Bangka, Kemang. Persegi Panjang.. Harus Lihat Shm",7500.0,"Kemang, Jakarta Selatan",345.0,250.0,5.0,3.0,0.0
Jakarta Selatan,"Rumah Dijual Cepat Di Pejaten Barat, Kemang. Harga Turun. Harus Lihat.",6000.0,"Kemang, Jakarta Selatan",290.0,350.0,4.0,4.0,2.0
Jakarta Selatan,Dijual Rumah America Classic Di Jagakarsa Jakarta Selatan,2750.0,"Jagakarsa, Jakarta Selatan",109.0,200.0,4.0,4.0,2.0
Jakarta Selatan,"Rumah Kos di Tebet Timur 11 Kamar Akses 1 Mobil, Carport 6 Mobil",4200.0,"Tebet, Jakarta Selatan",180.0,205.0,10.0,6.0,6.0
Jakarta Selatan,Rumah Aesthetic Modern 3 Lantai,1450.0,"Jagakarsa, Jakarta Selatan",60.0,145.0,4.0,3.0,1.0
Jakarta Selatan,"Rumah Brand New Ada Pool, 3 Menit Ke Rspi Pondok Indah, 5 Menit Ke Gerbang Tol Pondok Pinang, 10 Menit Ke Jis, 5 Menit Ke Pim 1, Depan Rumah Jalan 2 Mobil 2 Arah Sangat Lega",31000.0,"Pondok Indah, Jakarta Selatan",525.0,525.0,4.0,4.0,2.0
Jakarta Selatan,Di Jual Rumah Bagus Di Kebayoran Baru Jaksel,12000.0,"Kebayoran Baru, Jakarta Selatan",433.0,250.0,12.0,4.0,3.0
Jakarta Selatan,Rumah Di Pondok Indah Terawat 5menit Ke Pim 2 Shm,7000.0,"Pondok Indah, Jakarta Selatan",160.0,200.0,3.0,4.0,1.0
Jakarta Selatan,Rumah Kokoh Jalan Besar 2lantai Shm Di Pondok Indah Jakarta Selatan,17500.0,"Pondok Indah, Jakarta Selatan",300.0,450.0,4.0,3.0,2.0
Jakarta Selatan,"Aparthouse Di Cilandak 2 Lantai Shm, Baru, Hadap Selatan",998.0,"Cilandak, Jakarta Selatan",32.0,105.0,3.0,2.0,1.0
Jakarta Selatan,Rumah Bebas Banjir Cocok Untuk Usaha Dekat Mc D Kemang,17500.0,"Kemang, Jakarta Selatan",454.0,350.0,8.0,6.0,4.0
Jakarta Selatan,Cuma Ini Rumah Di Kebayoran Baru Harga Terjangkau Area Blok M,24000.0,"Kebayoran Baru, Jakarta Selatan",426.0,500.0,3.0,4.0,2.0
Jakarta Selatan,"Pasti Suka, Rumah Bagus Siap Huni 230m2 High Ceiling",3450.0,"Tebet, Jakarta Selatan",140.0,230.0,4.0,3.0,2.0
Jakarta Selatan,Rumah Baru Design American Classic Modern Di Kebayoran Baru,37000.0,"Kebayoran Baru, Jakarta Selatan",342.0,865.0,5.0,6.0,2.0
Jakarta Selatan,Termurah Se Niaga Hijau Pondok Indah,14000.0,"Pondok Indah, Jakarta Selatan",441.0,426.0,5.0,4.0,5.0
Jakarta Selatan,Rumah Cantik Pondok Indah Harga Njop,39900.0,"Pondok Indah, Jakarta Selatan",1152.0,918.0,6.0,5.0,6.0
Jakarta Selatan,"Rumah Hitung Tanah di Tebet Dalam, Akses 3 Mobil",8500.0,"Tebet, Jakarta Selatan",332.0,300.0,3.0,3.0,2.0
Jakarta Selatan,"House With Swimming Pool At West Cilandak , South Jakarta",19700.0,"Cilandak, Jakarta Selatan",710.0,611.0,4.0,3.0,2.0
Jakarta Selatan,Dijual Cepat Rumah Asri Bendi Sskeb Lama Jak-Sel,9500.0,"Kebayoran Lama, Jakarta Selatan",555.0,580.0,5.0,4.0,4.0
Jakarta Selatan,"Rumah Siap Huni 2 Lantai, 3 Kt, 2 Km Dekat Cbd Bintaro Jaya Shm",1750.0,"Bintaro, Jakarta Selatan",80.0,70.0,3.0,2.0,1.0
Jakarta Selatan,"Rumah Brand New Kebayoran Baru 3 Lantai, Private Lift, Taman, Pool",39000.0,"Kebayoran Baru, Jakarta Selatan",528.0,650.0,5.0,4.0,3.0
Jakarta Selatan,"Pondok Indah View Golf, Rumah Klasik 2 Lantai, Taman Luas, Pool, Elite",170000.0,"Pondok Indah, Jakarta Selatan",2835.0,1400.0,6.0,7.0,10.0
Jakarta Selatan,"Rumah Brand New Brawijaya Kebayoran Baru 2 Lantai, Mewah, Prime Area",80000.0,"Kebayoran Baru, Jakarta Selatan",700.0,800.0,4.0,4.0,6.0
Jakarta Selatan,"Rumah Kemang Timur Raya Dijual Murah Njop, Ijin Komersil Ruko Resto",24000.0,"Kemang, Jakarta Selatan",1192.0,802.0,4.0,4.0,6.0
Jakarta Selatan,Martimbang Kebayoran Baru Rumah Cantik 2 Lantai Modern Classic Dijual,41000.0,"Kebayoran Baru, Jakarta Selatan",600.0,800.0,5.0,4.0,2.0
Jakarta Selatan,"Kebayoran Baru Brand New 3 Lantai, Pool, Large Garden. Parkir 8 Mobil",35000.0,"Kebayoran Baru, Jakarta Selatan",633.0,840.0,5.0,5.0,8.0
Jakarta Selatan,"Kebayoran Baru Rumah 3 Lantai Murah, Lift, Pool, Taman Dekat Senayan",34000.0,"Kebayoran Baru, Jakarta Selatan",680.0,650.0,5.0,5.0,0.0
Jakarta Selatan,"Rumah Dalam Cluster, Sangat Terawat Dan Siap Huni Di Kemang",14300.0,"Kemang, Jakarta Selatan",348.0,703.0,4.0,3.0,2.0
Jakarta Selatan,Dijual Cepat Rumah Mewah Dalam Komplek Kemang Lokasi Sangat Strategis,17500.0,"Kemang, Jakarta Selatan",531.0,466.0,4.0,4.0,0.0
Jakarta Selatan,Dijual Rumah cluster di jakarta selatan akses strategis 2mobil,1800.0,"Jagakarsa, Jakarta Selatan",108.0,160.0,4.0,4.0,2.0
Jakarta Selatan,Rumah Aesthetic Modern Dengan Split Level Dan Balkon Jakarta Sel,1300.0,"Jagakarsa, Jakarta Selatan",60.0,120.0,4.0,3.0,1.0
Jakarta Selatan,"American Classic Mewah Dan Siap Huni, Dijual Rumah Bagus Siap Huni Area Prime Kebayoran Baru, Jalan Martimbang, Jakarta Selatan",41000.0,"Kebayoran Baru, Jakarta Selatan",600.0,800.0,5.0,4.0,3.0
Jakarta Selatan,"Mewah Siap Huni, Dijual Rumah Bangunan 2 Lantai Kondisi Bagus Dan Siap Huni di Area Pondok Indah, Sekolah Kencana, Jakarta Selatan",55000.0,"Pondok Indah, Jakarta Selatan",819.0,700.0,4.0,4.0,10.0
Jakarta Selatan,Rumah Lama Prime Area One Gate System Asri Dan Jalan Lebar,16000.0,"Kebayoran Baru, Jakarta Selatan",262.0,125.0,3.0,3.0,0.0
Jakarta Selatan,Rumah Di Jalan Utama Tebet Tanah Luas,16000.0,"Tebet, Jakarta Selatan",760.0,1020.0,7.0,4.0,4.0
Jakarta Selatan,(termurah Di Pejatan) Hunian Cluster Jakarta Selatan Harga Terjangkau,2480.0,"Pejaten, Jakarta Selatan",81.0,120.0,3.0,3.0,1.0
Jakarta Selatan,Rumah Dalam Cluster Luas Kpr Biaya 0 Carport 2 Mbl Bebas Banjir,2250.0,"Jagakarsa, Jakarta Selatan",105.0,135.0,3.0,3.0,2.0
