city,title,price,location,area,building_area,bedrooms,bathrooms,garage
makassar,Rumah 2 Lantai Pusat Kota Makassar,Rp 750 Juta,"Minasa Upa, Makassar",: 96 m²,: 80 m²,3,2,1
makassar,"Rumah di Graha Hasirah Makassar, dekat Tanjung Bunga, Tamalanrea","Rp 2,5 Miliar","Rappocini, Makassar",: 270 m²,: 500 m²,6,5,2
makassar,Rumah Mewah Citraland Celebes Hertasning,"Rp 5,31 Miliar","Hertasning, Makassar",: 240 m²,: 230 m²,4,5,2
makassar,Rumah Tinggal Cluster Laurus Residence,Rp 396 Juta,"Tamalate, Makassar",: 60 m²,: 30 m²,1,1,
makassar,"Rumah Bagus Furnished SHM Camba, Makassar",Rp 5 Miliar,"Camba, Makassar",: 120 m²,: 100 m²,2,1,
makassar,"SUMMARECON MAKASSAR, RUMAH SIAP HUNI, PROMO FREE PPN","Rp 2,6 Miliar","Biring Kanaya, Makassar",: 144 m²,: 163 m²,4,4,1
makassar,Cendana Suites Waterfront City Tanjung Bunga.makassar,"Rp 1,3 Miliar","Tanjung Bunga, Makassar",: 67 m²,: 78 m²,3,2,1
makassar,Black Slate Waterfront City Tanjung Bunga Makassar,"Rp 2,3 Miliar","Tanjung Bunga, Makassar",: 112 m²,: 125 m²,4,3,2
makassar,The Aluxe Homes Waterfront City Tanjung Bunga Makassar,"Rp 4,5 Miliar","Tanjung Bunga, Makassar",: 160 m²,: 190 m²,4,5,1
makassar,Dijual Rumah Bagus Kondisi Baru Dengan 2 Lantai Strategis di Makassar,Rp 990 Juta,"Tamalate, Makassar",: 72 m²,: 82 m²,4,3,1
makassar,Rumah Tanpa Dp Dan Angsuran Ringan Di Makassar,Rp 649 Juta,"Makassar, Makassar",: 72 m²,: 39 m²,2,1,1
makassar,Rumah Mewah Diharga 5 Milyaran Dimakassar,"Rp 5,46 Miliar","Tamalanrea, Makassar",: 335 m²,: 200 m²,4,4,3
makassar,"Jual Rumah Bagus Baru 1,5 Lantai di Makassar Kota",Rp 630 Juta,"Biring Kanaya, Makassar",: 60 m²,: 48 m²,2,1,1
makassar,Rumah 2 Lantai Anti Renov,Rp 750 Juta,"Minasa Upa, Makassar",: 90 m²,: 80 m²,3,2,1
