city,title,price,location,area,building_area,bedrooms,bathrooms,garage
surabaya,"Dijual Rumah + Toko Strategis Utk Usaha SHM Rungkut, Surabaya","Rp 5,9 Miliar","Rungkut, Surabaya",: 404 m²,: 308 m²,4,4,
surabaya,Rumah Baru Pakuwon Indah Dekat Graha Dan Citraland,"Rp 6,9 Miliar","Pakuwon Indah, Surabaya",: 192 m²,: 350 m²,4,5,2
surabaya,Super Muraah!!! Minimalis Semi Furnished Citraland Surabaya Barat,"Rp 3,75 Miliar","Citraland, Surabaya",: 210 m²,: 300 m²,4,3,2
surabaya,Furnished!! Nyaman!! Rumah Royal Residence Wiyung Surabaya Barat,"Rp 2,65 MiliarRp 3.2MHEMAT 551 Jutaan","Wiyung, Surabaya",: 148 m²,: 191 m²,3,3,2
surabaya,Rumah Minimalis Baru Araya Galaxy Bumi Permai Dekat Merr & Manyar,"Rp 2,6 Miliar","Manyar, Surabaya",: 91 m²,: 120 m²,3,3,2
surabaya,"Rumah di Aruba Village, Grand Island Pakuwon City 2 Lt Furnished","Rp 4,9 Miliar","Pakuwon City, Surabaya",: 128 m²,: 175 m²,3,4,2
surabaya,Rumah 3 Lantai Siap Huni Lokasi Strategis di Gayungsari Pagesangan Sepanjang Perbatasan Surabaya - Sidoarjo,"Rp 3,3 Miliar","Gayungan, Surabaya",: 96 m²,: 204 m²,3,2,1
surabaya,Simpang Darmo Permai Selatan Hok 2lt,"Rp 4,5 Miliar","Darmo permai, Surabaya",: 355 m²,: 415 m²,5,4,2
surabaya,Rumah Jual Galaxy Bumi Permai Dekat Merr,"Rp 7,8 Miliar","Galaxy, Surabaya",: 375 m²,: 500 m²,5,4,2
surabaya,Lebar 9 Meter Daerah HR Muhammad Dian Istana Mayjen Sungkono dekat Graha Famili,"Rp 2,08 MiliarRp 2.3MHEMAT 220 Jutaan","Graha, Surabaya",: 90 m²,: 132 m²,3,3,2
surabaya,Langkah Rumah Murah Di Nginden Intan Timur Dekat Untag Surabaya,"Rp 1,7 Miliar","Semolowaru, Surabaya",: 144 m²,: 120 m²,4,2,1
surabaya,Jual Rumah 900jt An Perak Surabaya Dekat Pelabuhan Dan Tol,Rp 990 Juta,"Perak, Surabaya",: 136 m²,: 85 m²,3,2,
surabaya,"Rumah 3lt Dekat Merr, Abd Rahman Hakim Sby, Cocok U Rumah Kost Dll","Rp 3,6 Miliar","Sukolilo, Surabaya",: 240 m²,: 500 m²,6,3,2
surabaya,"Rumah Bagus HGB Ketintang, Surabaya, akses lokasi dekat jalan Tol",Rp 850 Juta,"Ketintang, Surabaya",: 25 m²,: 15 m²,3,2,1
surabaya,"Rumah Murah di Daerah Kenjeran, Surabaya",Rp 525 Juta,"Kenjeran, Surabaya",: 200 m²,: 180 m²,3,2,
surabaya,Rumah Pojokan Lebar 7 Di Perum Wonorejo One Gate System,Rp 640 Juta,"Rungkut Industri, Surabaya",: 70 m²,: 50 m²,2,1,
surabaya,Di Bawah Apraisal Bank Rumah 2 Lantai Dharmahusada Mas,"Rp 1,9 Miliar","Dharma Husada, Surabaya",: 120 m²,: 200 m²,4,4,
surabaya,Rumah 1 M-an Di Surabaya Purimas Lebar 6m Lokasi Strategis,"Rp 1,3 Miliar","Gununganyar, Surabaya",: 102 m²,: 80 m²,2,1,
